title	link	date	author	text	comment_rbloggers
High-performance computing in R at useR! 2008	https://www.r-bloggers.com/2008/08/high-performance-computing-in-r-at-user-2008/	August 12, 2008	Mario Pineda-Krch	The useR! 2008 meeting is about to commence. Although I am not able to go this year I will be keeping a close eye on the talks and slides that (I assume) will be posted.  Last years useR! meeting (which I attended) was a great experience and considering the list of participants for this years meeting, it is bound to be a very interesting meeting. Dirk Eddelbuettel has already posted the slides to his talk entitled “Introduction to High-Performance R” on his web site. Clearly, anyone using R on, say, computer clusters would find this highly relevant.  On a side note, it would be interesting to have some idea of how commonly R is used on computer clusters. I have been using R on our in-house cluster for a few years now, and although it may sound a bit counterintuitive to run a high-level interpreted language such as R in a high-performance computing environment such as a cluster (most people would use a low-level compiled language like C for example), using R has the big advantage of allowing very fast prototyping. In other words, although the R code runs slower on the cluster than native C code would do it takes much less time to code it. Of course, for certain classes of models there is no other option that using C (or a similar low-level language), but if you can get away with R, a cluster allows you to run your serial code (or parallelized R code) in parallel with potentially huge time savings.  This is from the “Mario’s Entangled Bank” blog ( http://pineda-krch.com ) of Mario Pineda-Krch, a theoretical biologist at the University of California, Davis. 	 0 Comments
Updated version of GGobi: 2.1.8	https://www.r-bloggers.com/2008/08/updated-version-of-ggobi-2-1-8/	August 12, 2008	Hadley Wickham		 0 Comments
Process Simulation in R	https://www.r-bloggers.com/2008/08/process-simulation-in-r/	August 12, 2008	Quantitative Finance Collector		 0 Comments
R-code for Vasicek estimation	https://www.r-bloggers.com/2008/08/r-code-for-vasicek-estimation/	August 8, 2008	Quantitative Finance Collector		 0 Comments
Link C with R	https://www.r-bloggers.com/2008/08/link-c-with-r/	August 7, 2008	Yu-Sung Su		 0 Comments
Design Flaws in R #1 — Reversing Sequences	https://www.r-bloggers.com/2008/08/design-flaws-in-r-1-%e2%80%94-reversing%c2%a0sequences/	August 6, 2008	Radford Neal	"The R language for statistical computing has become the standard for academic statistical research, for the very good reason that it’s better than the alternatives.  It’s far from perfect however.  I could come up with a long “wish list” of desired  features it lacks, but that’s not what I’ll do in this series of posts.  Instead, I’ll concentrate on real design flaws — aspects of the language that make it all too easy to write unreliable programs.  Many of these are inherited from R’s predecessors, S and S-Plus, and may even originate in the very earliest version of S, which was seen more as a calculator than as a programming language. By far the most commonly-encountered design flaw in R is in the “:” operator for producing sequences, whose most common use is in “for” statements. Here’s an example: This approximates a definite integral by summing up the areas of n trapezoids defined using a grid of n+1 points from a to b. The area of one trapezoid is the width of its base, (b-a)/n, times the average of the heights of its two side, (f(left)+f(right))/2, where left and right are adjacent grid points. The function f is used twice at every grid point except for the very first and very last. To avoid wasting time, the program evaluates f only once at these n-1 middle points. This is handled by the “for” loop. I’ve avoided a minor design flaw in R here, by using 1 : (n-1) to define the range of values for j in the loop, which should be 1, 2, …, n-1.  Beginning R programmers usually write 1:n-1, and only find out after hours of debugging that this is interpreted as (1:n)-1, and so produces the sequence 0, 1, …, n-1.  But at least they usually realize they have a bug. The main problem is far more insidious.  The program above works fine, as long as n is greater than 1.  And it usually is, since you usually want to approximate the integral using more than one trapezoid, if you’re interested in getting an accurate result.  But n=1 is an entirely valid value, and sooner or later will come up, perhaps when a user cares more about speed than accuracy, or perhaps when another program automatically chooses this value of n for some reason.  Here’s an illustration of what happens: The exact answer is 63.  Even using n=2, one gets pretty close.  But 202.5 when using n=1?  The correct value for the approximation using one trapezoid is 3 x (32+62)/2 = 67.5. What’s happened?  Well, when n=1, the sequence 1 : (n-1) defining the range in the “for” statement is 1:0. Rather than interpreting this as the empty sequence, R decides that you must have wanted a sequence of decreasing values, namely 1 and 0.  So the body of the “for” loop is done twice, rather than not at all, with the unfortunate result seen above. Automatically reversing the direction of the sequence p:q when p>q must have seemed like a convenience to the original designers, who probably had in mind the situation where this expression is typed in directly by a user, who knows whether p>q or p. It’s a terrible idea in a programming language, however. Almost always, the logic of the program will require either an increasing sequence or a decreasing sequence, not one direction some times and the other direction other times.  And in many programs, the empty sequence will be needed as a valid limiting case, and of course is never generated with automatic reversal. Now, it clearly is possible to write working programs despite this design flaw.  For a sequence starting at 1, seq(length=n) will work.  You might think that seq(1,n,by=1) would also work, but instead it produces an error message when n=0.  You can also use an “if” statement to bypass the “for” loop when it shouldn’t be done, as below: Unfortunately, all these solutions are more work to write, and harder to read.  It’s much easier to write programs that don’t guard against problems of reversing sequences (which crop up in places other than “for” loops too).  The result is programs that mostly work, most of the time. Can this flaw in R be fixed?  At this point, changing the specification of the “:” operator is impossible — it would invalidate too many existing programs.  New operators could be introduced, however. For example, “:>:” could generate an increasing sequence, with a:>:b producing the empty sequence if a>b.  Similarly, “:” and “
         


Related
ShareTweet




To leave a comment for the author, please follow the link and comment on their blog:  Radford Neal's blog » R Programming.

R-bloggers.com offers daily e-mail updates about R news and tutorials about learning R and many other topics. Click here if you're looking to post or find an R/data-science job.

Want to share your content on R-bloggers? click here if you have a blog, or  here if you don't.
 "	 0 Comments
Welcome to FOSS Trading	https://www.r-bloggers.com/2008/09/welcome-to-foss-trading/	September 28, 2008	Joshua Ulrich	"
 "	 0 Comments
Group-level variances and correlations	https://www.r-bloggers.com/2008/09/group-level-variances-and-correlations/	September 23, 2008	Yu-Sung Su		 0 Comments
Design Flaws in R #3 — Zero Subscripts	https://www.r-bloggers.com/2008/09/design-flaws-in-r-3-zero-subscripts/	September 21, 2008	Radford Neal	Unlike the two design flaws I posted about before (here, here, and also here), where one could at least see a reason for the design decision, even if it was unwise, this design flaw is just  incomprehensible.  For no reason at all that I can see, R allows one to use zero as a subscript without triggering an error.  (Remember that in R, indexes for vectors and matrices start at one, not zero.) This is of course a terrible decision, because it makes debugging harder, and makes it more likely that bugs will exist that have never been noticed. So what does R do with a zero subscript, seeing as it’s meaningless?  It just ignores it, which is possible because it views all numeric subscripts as vectors, that extract or replace a set of elements, not necessarily just one.   So R simply removes all zeros from a vector used as a subscript, producing a shorter vector. Here’s what happens (with the current version of R, 2.7.2): Contrast this with what happens when you use a subscript that is too large: Extending vectors automatically when an assignment is made beyond the end can obviously be useful (though it might be wiser not to).  Returning NA when extracting an element beyond the end is also a sensible action (though signalling an error immediately might be more useful for debugging). And negative subscripts are usefully defined as referring to their complement. But what possible use is there for ignoring zero subscripts rather than signalling an error? It’s perhaps belabouring the obvious, but let me explain that signalling an error when a zero subscript is used is desirable because this is a very common sort of program bug.  It can easily arise when a program is scanning backwards through the vector elements, and goes one step too far.  It can also easily arise when data is initialized to zeros, with the intent to replace the zeros with something sensible later, but actually some zeros are never replaced. The way R behaves when zero is used as a subscript when replacing elements is particularly bad, since doing nothing at all can easily lead to an apparently working program that produces wrong answers.  (The behaviour of returning an empty vector when zero is used as a subscript when extracting an element is more likely to produce an error later on, so that at least the problem will be evident.) So what should be done?  That’s easy — change R so that use of zero as a subscript produces an immediate error.  That’s trivial to do (mixing positive and negative subscripts produces an immediate error now, so the apparatus for it must be there).  Might that break some existing programs?  Yes, it will.  But 99.9% of those programs are already broken.  The users just don’t know it, thinking that the answers they get are correct when they’re not.  The remaining 0.1% of these broken programs were written by really stupid programmers who thought that exploiting an obscure and unwise feature in order to produce a really hard-to-understand program was a good idea.  It wasn’t. Along with this, R should be changed so that using NA as a subscript when replacing elements in a vector also produces an error.  What to do with NA subscripts used to extract elements is a little bit harder to decide, but it seems to me that something about the following is a bit funny: 	 0 Comments
pmin and pmax	https://www.r-bloggers.com/2008/09/pmin-and-pmax/	September 16, 2008	R Tips	Did you know that there are multiple versions of the min and max function.  make sure that you are using the right one.  pmin and pmax are the ‘parallel’ versions of the min and max function, meaning that they can take vector arguments and return vectors back.  Much better than setting up your own apply function.  So make sure that you are using the right version. read more 	 0 Comments
Highlights from useR!	https://www.r-bloggers.com/2008/09/highlights-from-user/	September 11, 2008	Leslie Hawthorn		 0 Comments
rgraph6 on R-Forge	https://www.r-bloggers.com/2008/09/rgraph6-on-r-forge/	September 4, 2008	Michal	I have moved my rgraph6 R package to R-Forge. R-Forge is a website that facilitates development of R packages by providing services for version control (through Subversion), automatic checking and building of the packages including binaries for Windows and MacOS, as well as for collaboration with other R users/developers. The rgraph6 package has been already available through my private mini-repository. It provides an interface to a pretty compact format for storing undirected graphs as sequences of printable ASCII characters which is quite useful for handling large libraries of undirected graphs. The format itself is due to Brendan McKay. The detailed description of it is available here and is also included within the rgraph6 package. Two crucial functions of the package are written in C. As my knowledge of C is rather low it might be far from perfect. If you know C well you are more than welcome to have a look at the sources and suggest some improvements. I believe that one of the crucial things is checking for the size of the character sequences that are converted to binary numbers and then to decimal. I’m not sure whether it will work for arbitrary network sizes. I plan to put a public advertisement on R-Forge to look for people who would be willing to do that. Actually that was one of the reasons I opened the package development to others through R-Forge. So don’t be shy and go ahead!   From now on I will not release any future version of rgraph6 through this website. All will be distributed through rgraph6‘s website on R-Forge. The older versions will still be available though. You can install the current version from R-Forge directly from R with: 	 0 Comments
evolutionary algorithm optimization	https://www.r-bloggers.com/2008/09/evolutionary-algorithm-optimization/	September 4, 2008	Quantitative Finance Collector		 0 Comments
How do you measure a major league slugger?	https://www.r-bloggers.com/2008/09/how-do-you-measure-a-major-league-slugger/	September 1, 2008	mike	" I gave a talk last month at SAP Labs in Palo Alto, along with Jim Porzak of ResponSys, introducing the R Statistical Language to a Business Intelligence interest group.  The goal was to highlight how open source tools, like R, can be used to build predictive models.  The example I gave centered around baseball and a simple question:  how do you measure a baseball slugger? Michael Lewis, in  Moneyball , described how the baseball analyst Bill James was frustrated by the fact that major league hitters were consistently rated by their batting averages.  James wrote:   “a hitter should be measured by his success in that which he is trying to do, … create runs. It is startling, when you think about it, how much confusion there is about this.” – Bill James, 1979 Baseball Abstract However, since teams create runs, not batters, the only way to connect batting statistics with runs is to use team averages.  The idea is that if we know which statistics predict runs at the team level, these statistics could be used to measure individual hitters. I decided to test the value of three batting statistics myself — batting average, slugging percentage, and OPS (on-base plus slugging) — and see how well they predicted team runs, using MLB team data for the years 2000-2005 (available from baseball-databank.org). The results are shown in the three scatter plots below, and no surprise, Bill James is right:  a team’s overall batting average (top-most chart) is a comparatively poor predictor of how many runs it will score in an average game.  Slugging percentage (middle plot) is a slightly better predictor, and OPS (bottom plot) is the best of the three statistics I looked at:  it has a 0.95 correlation with runs scored (the r shown in the upper right corner of the plots is the Pearson correlation coefficient, the red lines represent least-squares fits to the points).

I highlighted a couple of interesting outliers in the top batting average plot: teams that achieved a high level of scoring with a comparatively low team batting average.  Who were these teams?  None other than Billy Beane’s 2000 and 2001 Oakland Athletics.  This suggests that the As management may have found excess value in fielding players who — despite having slightly lower batting averages — were capable of generating runs. These results show what Bill James and others already know:  that a baseball slugger should not be measured by his batting average, but by OPS or other hybrid statistics that best correlate with his success at generating runs.  There is nothing novel about the results of my analysis.  But what I hope is novel is showing how it can be done using open source tools (R and MySQL), free data (baseball-databank.org), and a few lines of code ( sabermetrics using R page).  "	 0 Comments
Plotting Math in R	https://www.r-bloggers.com/2008/10/plotting-math-in-r/	October 29, 2008	Yu-Sung Su		 0 Comments
The most popular programming languages in 2008	https://www.r-bloggers.com/2008/10/the-most-popular-programming-languages-in-2008/	October 26, 2008	Yu-Sung Su		 0 Comments
Working with directories	https://www.r-bloggers.com/2008/10/working-with-directories/	October 24, 2008	R Tips	"Something quite annoying to me is when I get an R script and I have to change all of the file references in the script. I get something like this this:


source(""C:\\Documents and Settings\\UserName\\Data\\...\\File1.R"")

data<-read.table(""C:\\Documents and Settings\\UserName\\Data\\...\\SomeData.dat"")


Besides these being unsightly, file references are also a pain to change.  Usually I just delete all but the filename.  How can I get away with that? because R remembers what directory you are dealing with and makes all file references relative. so the above becomes:
 read more "	 0 Comments
Rmetrics – Basics of Option Valuation	https://www.r-bloggers.com/2008/10/rmetrics-basics-of-option-valuation/	October 22, 2008	Quantitative Finance Collector		 0 Comments
What I’ll be presenting at O’Reilly Money Tech 2009	https://www.r-bloggers.com/2008/10/what-ill-be-presenting-at-oreilly-money-tech-2009/	October 21, 2008	mike	" (April 2009 Update:  Unfortunately, The Money Tech Conference was indefinitely postponed, but fortunately I will be presenting a version of this talk in July at OSCON 2009). I’ve been invited to speak at O’Reilly’s Money Tech conference this coming February 4-6th in New York City and thought I’d share the abstract for my talk here.  I’ll likely be in New York for several days, if you’d like to get together to chat about data drop me a line! My talk is entitled “Open Source Analytics: Visualization and Predictive Modeling of Big Data with the R Programming Language”
 ABSTRACT Just as the explosion of online data catalyzed the development of
storage technologies such as Hadoop, new challenges in data analytics
– turning terabytes into actionable insights — demand new tools.  R,
an open-source language for statistical computing and graphics, is an
extensible, embeddable, and industry-strength solution for analytics.
In this session, I showcase R’s power by building predictive models
for Brazilian soybean harvests and baseball slugger salaries. DESCRIPTION The economics of data aggregation and analysis are being disrupted by
falling costs for storage and CPU power, the continuing shift of
business processes online, and the deluge of data that is being
generated as a consequence. Satellite images, SEC filings, supply chain data (RFID data streams),
online prices, and newsgroup content represent just a few of the data
sources that hold potential for predictive modeling of markets. Much of this data does not fit within existing paradigms for business
analysis: either its size overwhelms traditional desktop tools such as
Excel, or else its unique dimensions (such as geocodes) prevent its
being pipelined into more powerful, but narrowly designed, analysis
tools.  Finally, closed-source tools cannot keep pace with the leading
edge of innovation in statistical and machine-learning algorithms. Enter the open source programming language R.  R has been dubbed the
lingua franca for statistical computing and graphical analysis, with a
pedigree tracing back several decades at Bell Labs.  Though its
million-plus users are concentrated within academia, R is gaining
currency within several high-profile quantitative analysis groups,
including Google’s Customer Insights team and Barclays Global
Investors.  In addition, R’s extensibility via user-contributed
packages has spawned an active developer community. In this session, I will focus on applying R’s powerful visualization
tools to guide the construction of predictive models, using the kind
of large, multidimensional data sets that increasingly confront
quantitative analysts.  Along the way, I will highlight R’s packages
for inferential statistics, its compact modeling syntax, and its ease
of connectivity with persistent data stores. The two specific examples I will discuss are: – an analysis of NASA’s Landsat imagery of Brazil’s center-west
agricultural regions to detect correlates for soybean harvest yields,
and a derived predictor of the Brazilian soybean market based in part
on these correlates. – a validation of Bill James’ sabermetrics approach to batting
performance using 30 years of Major League Baseball statistics, and a
derived predictor for batters’ salaries. For all of its strengths, R has an admittedly steep learning curve.
While source code for the examples will be provided online, this talk
will emphasize techniques and working examples over technical details.
The goal of this session is to give quantitative analysts the courage
to invest in learning the R language, by showcasing R’s power,
highlighting its features, and providing examples of its use for
innovative applications. "	 0 Comments
Another solution to the R to Word table problem	https://www.r-bloggers.com/2008/10/another-solution-to-the-r-to-word-table-problem/	October 17, 2008	John Johnson	You'll need the package svViews (part of the SciViews series of packages) for this one. Basically, what the above does is create a temporary file to hold the RTF document, then write the RTF code to recreate the table, then add the RTF file to Word. The table can then be manipulated as desired. Unfortunately, as the SciViews is Windows only, the automation part of this process is Windows only, but the file creation is not. Since myfile is a string variable, an R function can be written to execute a series of Applescript commands on the Macintosh. 	 0 Comments
Using R in consulting: playing nice with Microsoft Word	https://www.r-bloggers.com/2008/10/using-r-in-consulting-playing-nice-with-microsoft-word/	October 17, 2008	John Johnson		 0 Comments
Time series packages on R	https://www.r-bloggers.com/2008/10/time-series-packages-on-r/	October 16, 2008	Rob J Hyndman	There is now an official CRAN Task View for Time Series. This will replace my earlier list of time series packages for R, and provide a more visible and useful entry point for people wanting to use R for time series analysis. If I have missed anything on the list, please let me know. 	 0 Comments
Econometric tools for performance and risk analysis	https://www.r-bloggers.com/2008/10/econometric-tools-for-performance-and-risk-analysis/	October 13, 2008	Quantitative Finance Collector		 0 Comments
R’s working directory	https://www.r-bloggers.com/2008/10/r%e2%80%99s-working-directory/	October 3, 2008	Michal	"
Do you usually start R with a desktop icon or some other shortcut? Are you tired of using setwd and getwd each time after you start R to get the working directory correctly? If so, then your days of suffering might be just coming to an end.
 
Having the working directory set correctly is very convenient. You can both read and write files to the proper place without typing (on Windows, usually very long) path names. There are couple of solutions:
 
One way to achieve this is to have a setwd function call at the top of your scripts. You then run it every time you do the computations in that script. For example to have at the top of a file a following line:
 
It is a nice approach, but things get complicated if you move files to different computers, say from home to your office, and have different directory structures, disk names etc. Of course you can change it every time. Or perhaps keep couple of versions and have all of them but one commented, for example:
 
Which is also OK, but for me is too much micromanagement. Also, it becomes a problem if the script is not intended for interactive use.
 
An alternative might be work with Windows shortcuts for starting R. In shortcut’s properties there is a “Start in” field in which you can put the path to the desired folder. If you start R with the modified icon then R’s working directory will be correctly set. With that approach you can have, say, couple of R icons on your desktop, each to different project folders.
 
This is convenient unless you work on 10 projects. Each time you may have to create yet another shortcut.
 
Another approach is to set the environment PATH variable. If you add the path to R’s executable to it then you will be able to start R from whatever directory in the system you want.
 
To modify the PATH variable you need to right-click on “My Computer” and select “Properties” then go to “Advanced” tab and “Environment variables” button. The way to modify the PATH variable depends on where you installed R. Usually it is something like c:program filesRR 2.7.0bin.
 
I use this approach myself with Total Commander and its command line. Wherever I am on the disk I can start R in that directory just bu typing rgui and pressing Enter. You can also use Windows Console (cmd) for that.
 
Yet another way is to add a command to your context menu (the one appearing when you right-click on things). By right-clicking on a folder and choosing “R” option you can start R with that folder set as the working directory.
 
To set up such a command you have to modify Windows Registry and will require, I believe, administrative privileges. Look here for details how to do this.
 
Any other ideas or suggestions? "	 0 Comments
First and easy steps with R and Sweave	https://www.r-bloggers.com/2008/11/first-and-easy-steps-with-r-and-sweave/	November 28, 2008	:)-k		 0 Comments
Sweave.sh plays with cacheSweave	https://www.r-bloggers.com/2008/11/sweave-sh-plays-with-cachesweave/	November 26, 2008	Gregor Gorjanc		 0 Comments
Calculating an N50 from Velvet output	https://www.r-bloggers.com/2008/11/calculating-an-n50-from-velvet-output/	November 25, 2008	Jeremy Leipzig		 0 Comments
Use anchoring to lose years off your age	https://www.r-bloggers.com/2008/11/use-anchoring-to-lose-years-off-your-age/	November 21, 2008	Diego		 0 Comments
Setting up Textmate to use R	https://www.r-bloggers.com/2008/11/setting-up-textmate-to-use-r/	November 21, 2008	:)-k		 0 Comments
Plot symbols in R	https://www.r-bloggers.com/2008/11/plot-symbols-in-r/	November 18, 2008	Yu-Sung Su		 0 Comments
Call C from R and R from C	https://www.r-bloggers.com/2008/11/call-c-from-r-and-r-from-c/	November 17, 2008	Forester		 0 Comments
Multivariate dependence with copulas	https://www.r-bloggers.com/2008/11/multivariate-dependence-with-copulas/	November 17, 2008	Quantitative Finance Collector		 0 Comments
Sweave Engine for TeXShop	https://www.r-bloggers.com/2008/11/sweave-engine-for-texshop/	November 17, 2008	cameron	Sweave is an awesome utility for including the output of R code in a LaTeX document which I have started using regularly. TeXShop is my favorite editor/viewer for LaTeX under Mac OS X for many reasons. One of which is the speed of the edit -> compile -> view process which it enables.  Therefore, I have been reluctant to use Sweave in the past because of the extra LaTeX compilation step that is not supported by default in TeXShop. Recently, my friend Charlie Sharpsteen first showed me this way to get around this with a custom “engine”. The engine file looke like this: Sweave.engine  Place this file in ~/Library/TeXShop/Engines/, make sure PATH includes the location of you TeX distribution. Make sure executable permissions (like 744) are set on both files or TeXShop will give an error message.  Now open (or re-open) TeXShop and select “Sweave” from the list at the top left.  Now you can use command-t to compile Sweave and view your document in one step! Thanks Chuck!  	 0 Comments
Using the booktabs package with Sweave and xtable	https://www.r-bloggers.com/2008/11/using-the-booktabs-package-with-sweave-and-xtable/	November 16, 2008	cameron	The xtable package in R can output R data as latex tables. Used in conjunction with Sweave it is possible to automatically generate tables in a report.  Needless to say this provides a really appealing possibility of never typing data into a table again.  The only problem is that I think the default latex tables don’t look that great. Enter booktabs… The booktabs package in latex makes really nice tables, especially if there is math in your table that might run up against the regular \hline in the tabular environment. Buried away in the xtable documentation are some options that make this possible.  See the example below:  To compile, Sweave needs to be run on it.  Running Sweave is an pre-processing step in the latex compilation process  and then check out your awesome new table that you didn’t type!  	 0 Comments
R function to reverse and complement a DNA sequence	https://www.r-bloggers.com/2008/11/r-function-to-reverse-and-complement-a-dna-sequence/	November 13, 2008	fabiomarroni	"Warning!!
This post is intended for documentation only. I would like to remind everyone (me in first place!) that the comp() function of the (seqinr) package can complement a DNA sequence, and rev() function of Rbase can reverse a character vector. Using a combination of the two you can reverse, complement, and reverse complement sequences as well.  Complements (and eventually reverse) a DNA sequence, which has to be inserted as a character vector, no matter if lower or uppercase.
Limitations:
1) Cannot work with RNA, only DNA
2) Cannot reverse without complementing. You can complement and reverse complement, but not just reverse.Author Fabio Marroni (http://www.fabiomarroni.altervista.org/)
Arguments:
x:character vector, the DNA sequence.
rev: logical. If TRUE, the function will return the reverse complemente, if FALSE, it will return the complementary sequence. The default value is TRUE. Value:
The complemented (and eventually reverse) sequence, as a character vector. There are several web sites which can easily complement and reverse a DNA sequence (and RNA as well).
The advantage of using this piece of code is that it is possible to automatically reverse complement a series of sequences: I had several primers to reverse/complement and I didn’t want to copy and paste them every time. Only now I found a web site in which you can copy and paste the primers on different lines and get the reverse complement of each primer on a different lines. You may want to try it: http://arep.med.harvard.edu/cgi-bin/adnan/revcomp.pl.
However, the versatility of R allows you to automatically retrieve the reverse complement and (for example) save each of the primer in a different text file.
Also, there is a nice library in R (seqinr) which can reverse complement and perform several other tasks (http://cran.r-project.org/web/packages/seqinr/index.html). Since my R programming skills are “limited”, comments and suggestions are welcome!
  Thanks to rhi for providing code for complementing without reversing. I paste it below.  "	 0 Comments
Modeling Financial Time Series with S-PLUS	https://www.r-bloggers.com/2008/11/modeling-financial-time-series-with-s-plus/	November 12, 2008	Quantitative Finance Collector		 0 Comments
Saving a Workspace	https://www.r-bloggers.com/2008/11/saving-a-workspace/	November 11, 2008	R Tips	R will can save the users workspace at the end of a session so that he can take it up again where he left off. I personally don’t like doing this but there are times when one would want to save their work, especially after complex and time consuming computations. read more 	 0 Comments
Quantitative Risk Management R package	https://www.r-bloggers.com/2008/11/quantitative-risk-management-r-package/	November 5, 2008	Quantitative Finance Collector		 0 Comments
R/Finance 2009: Applied Finance with R	https://www.r-bloggers.com/2008/12/rfinance-2009-applied-finance-with-r/	December 30, 2008	Joshua Ulrich	"
 "	 0 Comments
New stuff in the gdata R package	https://www.r-bloggers.com/2008/12/new-stuff-in-the-gdata-r-package/	December 30, 2008	Gregor Gorjanc		 0 Comments
RQuantLib 0.2.10	https://www.r-bloggers.com/2008/12/rquantlib-0-2-10/	December 29, 2008	Thinking inside the box		 0 Comments
Rcpp now in Debian	https://www.r-bloggers.com/2008/12/rcpp-now-in-debian/	December 25, 2008	Thinking inside the box		 0 Comments
High-Performance Computing with R	https://www.r-bloggers.com/2008/12/high-performance-computing-with-r/	December 25, 2008	Gregor Gorjanc		 0 Comments
Very flattering	https://www.r-bloggers.com/2008/12/very-flattering/	December 24, 2008	Thinking inside the box		 0 Comments
Statistics for Neuroscience (Neuroscience 9506b)	https://www.r-bloggers.com/2008/12/statistics-for-neuroscience-neuroscience-9506b/	December 23, 2008	Paul Gribble		 0 Comments
gdata gains trimSum function	https://www.r-bloggers.com/2008/12/gdata-gains-trimsum-function/	December 20, 2008	Gregor Gorjanc		 0 Comments
Rtools and Cygwin on MS Windows	https://www.r-bloggers.com/2008/12/rtools-and-cygwin-on-ms-windows/	December 20, 2008	Gregor Gorjanc		 0 Comments
Extra moments measure	https://www.r-bloggers.com/2008/12/extra-moments-measure/	December 16, 2008	Quantitative Finance Collector		 0 Comments
R matrices in C functions	https://www.r-bloggers.com/2008/12/r-matrices-in-c-functions/	December 13, 2008	Forester		 0 Comments
Memory limit management in R	https://www.r-bloggers.com/2008/12/memory-limit-management-in-r/	December 13, 2008	Gregor Gorjanc		 0 Comments
Functions for portfolio analysis	https://www.r-bloggers.com/2008/12/functions-for-portfolio-analysis/	December 11, 2008	Quantitative Finance Collector		 0 Comments
Convert Splus to R	https://www.r-bloggers.com/2008/12/convert-splus-to-r/	December 10, 2008	Quantitative Finance Collector		 0 Comments
Computational Finance with R	https://www.r-bloggers.com/2008/12/computational-finance-with-r/	December 5, 2008	Joshua Ulrich	"
 "	 0 Comments
Some of my other R-resources	https://www.r-bloggers.com/2008/12/some-of-my-other-r-resources/	December 5, 2008	:)-k		 0 Comments
